3 {maxRange=96.72852492102554, maxFlightTime=81.67373304389835, cruiseSpeed=176.15941620287632, maxSpeed=231.2808840955982, loadCapacity=11.143287689708917, maxHeight=3478.741016676184, powerType='Fuel', size=2.4246820050278193, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=3}
4 {maxRange=86.75931541790871, maxFlightTime=114.77115598488932, cruiseSpeed=204.76561162569308, maxSpeed=333.8354362881636, loadCapacity=39.69075173146993, maxHeight=3897.9498329215544, powerType='Hybrid (Fuel + Electric)', size=3.743629920081162, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=2981.230625452766}
3 {maxRange=169.13369339798427, maxFlightTime=63.49442314575664, cruiseSpeed=205.67417428249047, maxSpeed=323.22284230664445, loadCapacity=6.398158449671364, maxHeight=501.23726737124616, powerType='Fuel', size=2.513241496334663, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=5}
1 {maxRange=38.29806739598543, maxFlightTime=44.89844526316658, cruiseSpeed=17.648425278638022, maxSpeed=29.487782637317355, loadCapacity=5.370002264396035, maxHeight=498.5196879786571, powerType='Electric', size=1.2191133196849138, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=94.70397543259206, maxFlightTime=67.19336312201406, cruiseSpeed=244.3974326631959, maxSpeed=229.45600169211988, loadCapacity=26.39285088613886, maxHeight=897.0910762199425, powerType='Fuel', size=5.308162937242345, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=7}
2 {maxRange=112.21514288722621, maxFlightTime=212.98434428771364, cruiseSpeed=368.6748987524614, maxSpeed=119.00166878056802, loadCapacity=31.34903689570808, maxHeight=3102.499423074899, powerType='Fuel', size=7.374486848255766, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=23.38452345288684}
3 {maxRange=121.42930419617188, maxFlightTime=124.67724837837599, cruiseSpeed=146.9027138776337, maxSpeed=290.59376132255414, loadCapacity=25.949062162583772, maxHeight=1837.3360429285744, powerType='Fuel', size=5.490748124704935, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=3}
2 {maxRange=219.8311597314782, maxFlightTime=78.219727665308, cruiseSpeed=164.85000264265778, maxSpeed=496.48213466117545, loadCapacity=46.06834722006088, maxHeight=5132.78902583268, powerType='Fuel', size=6.022483917611205, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=15.91611758467055}
3 {maxRange=65.33668622194511, maxFlightTime=43.40953894969449, cruiseSpeed=111.84177770304802, maxSpeed=318.58227412887237, loadCapacity=6.931913321501231, maxHeight=3278.5399856475447, powerType='Fuel', size=5.103975055596109, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=2}
4 {maxRange=109.24440241668873, maxFlightTime=59.23998716384524, cruiseSpeed=137.94564974086535, maxSpeed=251.1564142798401, loadCapacity=29.695364291036842, maxHeight=3448.831980812336, powerType='Hybrid (Fuel + Electric)', size=1.0993108202698985, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=5085.443314524997}
2 {maxRange=216.9800690266136, maxFlightTime=208.4332128119733, cruiseSpeed=248.6736840492808, maxSpeed=549.9869470990225, loadCapacity=20.16195160129914, maxHeight=5113.486906013762, powerType='Fuel', size=13.706288807676259, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=8.512780086822367}
3 {maxRange=111.78500807958122, maxFlightTime=42.8977024105128, cruiseSpeed=171.8620722622287, maxSpeed=251.39460213114236, loadCapacity=11.150170683914633, maxHeight=3071.407632057448, powerType='Fuel', size=2.2751279116007437, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=2}
1 {maxRange=30.469136833875602, maxFlightTime=19.928631169182886, cruiseSpeed=18.09977280226241, maxSpeed=37.24636958909112, loadCapacity=2.9653223476333843, maxHeight=360.4989245764986, powerType='Electric', size=0.7961087310955461, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
4 {maxRange=88.62311341873288, maxFlightTime=55.22958514353708, cruiseSpeed=172.62466148905224, maxSpeed=246.55986849918486, loadCapacity=10.775489525934457, maxHeight=6907.540596676473, powerType='Hybrid (Fuel + Electric)', size=1.1278647924583876, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=3643.5674497457458}
2 {maxRange=88.28600498133648, maxFlightTime=171.79032689465686, cruiseSpeed=180.58685158801973, maxSpeed=483.2583543461284, loadCapacity=14.655087090808275, maxHeight=1147.1405321683355, powerType='Fuel', size=5.811324380752909, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=11.18373462333815}
4 {maxRange=56.57438720536122, maxFlightTime=45.5058759385615, cruiseSpeed=284.7746542748626, maxSpeed=113.88570042183935, loadCapacity=43.354540789024526, maxHeight=2700.1036914495035, powerType='Hybrid (Fuel + Electric)', size=1.980608354401705, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=4461.668098932897}
1 {maxRange=58.09482780209878, maxFlightTime=33.12129476648852, cruiseSpeed=13.511538136977073, maxSpeed=35.119005354248415, loadCapacity=3.68085773215575, maxHeight=179.9928957479487, powerType='Electric', size=1.7527780459819544, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=59.790956597245234, maxFlightTime=87.20121235008966, cruiseSpeed=127.004844298544, maxSpeed=74.44783472522272, loadCapacity=29.346152684282885, maxHeight=3936.7102856180823, powerType='Fuel', size=5.841402915003513, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
4 {maxRange=52.40124891796485, maxFlightTime=67.49270974287978, cruiseSpeed=178.43773558205535, maxSpeed=252.52504830289772, loadCapacity=46.219937525324774, maxHeight=3543.957366661346, powerType='Hybrid (Fuel + Electric)', size=2.3482153304964974, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=5458.471742699765}
3 {maxRange=144.3461571136749, maxFlightTime=94.8894924433551, cruiseSpeed=210.21812696252005, maxSpeed=202.16293333421297, loadCapacity=17.555806606328446, maxHeight=2724.4854602137075, powerType='Fuel', size=5.665993386610746, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=6}
3 {maxRange=89.98950922497278, maxFlightTime=113.88013965194212, cruiseSpeed=227.36979157773771, maxSpeed=237.1634928951305, loadCapacity=13.309464805012357, maxHeight=2333.6165308489853, powerType='Fuel', size=1.2284726061388782, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=2}
4 {maxRange=84.67066833475366, maxFlightTime=90.13444624621948, cruiseSpeed=77.07441403920014, maxSpeed=327.97706670643015, loadCapacity=23.992204585210114, maxHeight=7287.950037705634, powerType='Hybrid (Fuel + Electric)', size=3.8842104120194616, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=6713.564797597686}
2 {maxRange=106.2809936886856, maxFlightTime=67.49731523346496, cruiseSpeed=151.7076875071167, maxSpeed=441.6918934296978, loadCapacity=21.979306743283352, maxHeight=3219.1085941219358, powerType='Fuel', size=6.506026973964173, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=18.320223735504175}
2 {maxRange=86.86991729981182, maxFlightTime=239.68300167815207, cruiseSpeed=182.06516826075148, maxSpeed=474.4281956722396, loadCapacity=13.182263164670935, maxHeight=3591.404530249637, powerType='Fuel', size=5.757283716828695, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=25.487715557156726}
1 {maxRange=43.42589694670016, maxFlightTime=41.939039179331814, cruiseSpeed=9.430216671414284, maxSpeed=15.470660450016346, loadCapacity=2.4981648277184916, maxHeight=574.7410872883254, powerType='Electric', size=1.5025402595008603, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
2 {maxRange=247.95258602761663, maxFlightTime=97.37778554822142, cruiseSpeed=264.7807527362779, maxSpeed=282.9352082792808, loadCapacity=49.51161427443539, maxHeight=3428.6743556627357, powerType='Fuel', size=18.668195397714037, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=15.749100631853722}
1 {maxRange=51.163887306067956, maxFlightTime=12.983227720122663, cruiseSpeed=10.581781968355148, maxSpeed=34.36753119542075, loadCapacity=1.6891622462002411, maxHeight=593.8942979797398, powerType='Electric', size=1.519565279742792, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
1 {maxRange=59.57176830134544, maxFlightTime=58.77557696534916, cruiseSpeed=21.462959115008967, maxSpeed=27.87238399596195, loadCapacity=4.22675735932897, maxHeight=103.9199765901486, powerType='Electric', size=0.550751049451399, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
4 {maxRange=74.11379748243371, maxFlightTime=96.59658757711648, cruiseSpeed=263.4940050783373, maxSpeed=225.34698008305924, loadCapacity=27.301341209403734, maxHeight=6787.120214217065, powerType='Hybrid (Fuel + Electric)', size=2.0449271556579696, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=1214.1804879495523}
1 {maxRange=46.827848638821784, maxFlightTime=57.3839064826485, cruiseSpeed=7.555446199223319, maxSpeed=26.346770841847384, loadCapacity=1.5752410082824682, maxHeight=134.0165871845845, powerType='Electric', size=1.0026725056666188, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
4 {maxRange=120.52267792095182, maxFlightTime=98.20447545528786, cruiseSpeed=53.44363710591569, maxSpeed=92.35513699492182, loadCapacity=22.689280210214875, maxHeight=4590.861879850147, powerType='Hybrid (Fuel + Electric)', size=3.5268538544233325, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=5997.693259929988}
1 {maxRange=47.491569689440844, maxFlightTime=17.307479261506934, cruiseSpeed=10.640943286922592, maxSpeed=34.56178251083597, loadCapacity=1.7455605823686757, maxHeight=420.5457110009565, powerType='Electric', size=0.9571995240466555, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
4 {maxRange=102.23011272289288, maxFlightTime=67.89461878599141, cruiseSpeed=133.74745640992472, maxSpeed=294.8473859319804, loadCapacity=33.95957957870685, maxHeight=5787.535830931167, powerType='Hybrid (Fuel + Electric)', size=3.892618028617199, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=2700.3144025641177}
4 {maxRange=105.6564493752148, maxFlightTime=98.26789307055085, cruiseSpeed=236.56493676990394, maxSpeed=142.59681141859804, loadCapacity=16.495594194358333, maxHeight=4386.855106144592, powerType='Hybrid (Fuel + Electric)', size=2.396072485560399, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=6723.358775514479}
4 {maxRange=92.70232726428274, maxFlightTime=68.92142266345643, cruiseSpeed=199.6247702590257, maxSpeed=227.95388301757765, loadCapacity=47.070467517535675, maxHeight=5180.935081045569, powerType='Hybrid (Fuel + Electric)', size=3.736773273976148, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=4937.278375137877}
3 {maxRange=176.96749197539717, maxFlightTime=45.02893537409762, cruiseSpeed=238.07080553106002, maxSpeed=293.9709607198665, loadCapacity=24.32158891459027, maxHeight=2809.616246831426, powerType='Fuel', size=1.5643116017428924, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
4 {maxRange=123.64495627016245, maxFlightTime=77.71544613447323, cruiseSpeed=293.2755405397685, maxSpeed=107.97764480798504, loadCapacity=33.36859433135284, maxHeight=5669.927163499315, powerType='Hybrid (Fuel + Electric)', size=3.0427978553607895, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=3394.2440160376614}
1 {maxRange=17.06576073047619, maxFlightTime=55.67823092731898, cruiseSpeed=10.4044415486452, maxSpeed=10.813816721773005, loadCapacity=5.256757455411211, maxHeight=524.5589697656161, powerType='Electric', size=1.5685660108513184, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
3 {maxRange=150.86657784589303, maxFlightTime=120.6785598235626, cruiseSpeed=133.9425293097925, maxSpeed=217.64981703668462, loadCapacity=9.438931821454535, maxHeight=1857.2180862302928, powerType='Fuel', size=2.326653439249787, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=7}
1 {maxRange=40.204676718737474, maxFlightTime=25.610493447431097, cruiseSpeed=10.040898755389005, maxSpeed=24.54258095134022, loadCapacity=5.454962963931513, maxHeight=534.0306379405804, powerType='Electric', size=1.0466065366647601, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
1 {maxRange=52.858579419594825, maxFlightTime=48.80603508522331, cruiseSpeed=22.29717633031646, maxSpeed=33.1382327754947, loadCapacity=2.7427090395580223, maxHeight=393.3503819632698, powerType='Electric', size=1.3935668319770849, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
4 {maxRange=74.54071373313141, maxFlightTime=119.36291900039964, cruiseSpeed=98.80506794339048, maxSpeed=300.2805679090378, loadCapacity=18.3517804803393, maxHeight=2397.248800325542, powerType='Hybrid (Fuel + Electric)', size=1.83470983550707, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=1179.7115172032738}
3 {maxRange=137.0889592463689, maxFlightTime=78.26411863471387, cruiseSpeed=184.4815776238265, maxSpeed=229.55882979030508, loadCapacity=15.217813459348113, maxHeight=827.8677949546438, powerType='Fuel', size=1.718543091232882, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=7}
2 {maxRange=114.34760053736632, maxFlightTime=181.14359699242073, cruiseSpeed=371.99891835182206, maxSpeed=388.8288323235417, loadCapacity=33.468700281318334, maxHeight=2209.4794755371818, powerType='Fuel', size=11.3689480227021, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=11.657722883224682}
1 {maxRange=36.320165835247124, maxFlightTime=50.39066623029227, cruiseSpeed=13.767361997114094, maxSpeed=14.947024339611675, loadCapacity=3.4242578970630486, maxHeight=126.1926125364203, powerType='Electric', size=2.4990782192640273, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=137.7139983548795, maxFlightTime=74.4413746061563, cruiseSpeed=235.42101014756824, maxSpeed=250.5667125044324, loadCapacity=21.13577680660406, maxHeight=4065.421271643652, powerType='Fuel', size=2.9416141140852456, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=5}
2 {maxRange=234.59009959089116, maxFlightTime=218.43765297908155, cruiseSpeed=165.1726892139542, maxSpeed=135.72432972810492, loadCapacity=26.508425442864045, maxHeight=1103.5405075287765, powerType='Fuel', size=16.882635890275004, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=27.833030883107575}
1 {maxRange=12.214691490076165, maxFlightTime=10.191028561904634, cruiseSpeed=24.7576985167294, maxSpeed=13.867171367825275, loadCapacity=1.430575490414823, maxHeight=204.42988678037966, powerType='Electric', size=2.102102747172802, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
2 {maxRange=93.25963044801371, maxFlightTime=165.6596896785692, cruiseSpeed=379.53780176968434, maxSpeed=405.96448328254945, loadCapacity=18.152073010684656, maxHeight=4064.5769477518365, powerType='Fuel', size=15.393789283468484, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=27.570771702941574}
1 {maxRange=35.62029240099563, maxFlightTime=25.032578123270568, cruiseSpeed=5.66854552894368, maxSpeed=20.786726686929327, loadCapacity=5.88632667051659, maxHeight=461.5483685617308, powerType='Electric', size=1.862916931206736, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
3 {maxRange=122.14967710552241, maxFlightTime=94.27350811617023, cruiseSpeed=106.56401945366369, maxSpeed=182.82431319889125, loadCapacity=6.075447426442475, maxHeight=1177.626191092466, powerType='Fuel', size=3.8086383518471925, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=2}
1 {maxRange=34.406324173377, maxFlightTime=61.57316201874057, cruiseSpeed=6.338107130728532, maxSpeed=31.08338606330636, loadCapacity=5.86503179235008, maxHeight=243.82766091551747, powerType='Electric', size=1.3255930877614397, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
4 {maxRange=136.70612929863353, maxFlightTime=102.46548897275451, cruiseSpeed=230.82319686905828, maxSpeed=171.37469470617708, loadCapacity=32.165871981664544, maxHeight=1751.4594697933007, powerType='Hybrid (Fuel + Electric)', size=3.3975596081299484, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=3174.494695698617}
1 {maxRange=45.60427782168294, maxFlightTime=49.70927084640455, cruiseSpeed=6.507757258573261, maxSpeed=19.077901172821182, loadCapacity=5.909978605301136, maxHeight=241.5099174955171, powerType='Electric', size=2.3074921842404734, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
2 {maxRange=117.8990843872255, maxFlightTime=208.33308583351416, cruiseSpeed=276.8994631864317, maxSpeed=567.6895905929495, loadCapacity=29.749377238092286, maxHeight=2558.1471252322963, powerType='Fuel', size=10.5916416280761, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=24.823592825216235}
4 {maxRange=62.993454590492235, maxFlightTime=54.60639917438357, cruiseSpeed=260.80443130102105, maxSpeed=263.9607124105171, loadCapacity=43.78228703436654, maxHeight=5305.5869619214145, powerType='Hybrid (Fuel + Electric)', size=3.0983960510469757, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=4875.396856429625}
4 {maxRange=70.43443474861468, maxFlightTime=58.73394788791627, cruiseSpeed=54.12713217548363, maxSpeed=182.048838804995, loadCapacity=48.99325142548847, maxHeight=3113.9924328447614, powerType='Hybrid (Fuel + Electric)', size=3.016386416088007, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=1451.352062755517}
2 {maxRange=216.2391148409198, maxFlightTime=154.19334905483265, cruiseSpeed=351.19598986315054, maxSpeed=360.17593368485024, loadCapacity=45.75591106727796, maxHeight=3970.977402981293, powerType='Fuel', size=17.483578567306658, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=34.506620173243995}
4 {maxRange=95.39873394083426, maxFlightTime=116.3337919737975, cruiseSpeed=229.64275212227477, maxSpeed=147.7652166093154, loadCapacity=32.913242958886045, maxHeight=3007.4789995777082, powerType='Hybrid (Fuel + Electric)', size=1.615148497753581, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=3436.442656504115}
4 {maxRange=129.40972456356405, maxFlightTime=59.82406621248845, cruiseSpeed=143.71480656523124, maxSpeed=142.1366250004648, loadCapacity=28.739793401051443, maxHeight=3103.2054073452446, powerType='Hybrid (Fuel + Electric)', size=3.947578127170861, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=2278.842210064895}
1 {maxRange=41.15451507224474, maxFlightTime=42.909278526535964, cruiseSpeed=19.268702771891167, maxSpeed=38.06100724914734, loadCapacity=4.829374425655954, maxHeight=116.7551765041592, powerType='Electric', size=0.9626593219224735, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
1 {maxRange=54.22070864453876, maxFlightTime=54.48333224246674, cruiseSpeed=20.77486234373295, maxSpeed=14.229795920304792, loadCapacity=2.5372594774880315, maxHeight=452.6893017348147, powerType='Electric', size=1.1749563015113498, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
4 {maxRange=87.20216954508858, maxFlightTime=46.34923342628787, cruiseSpeed=161.38575777332028, maxSpeed=112.84285147872852, loadCapacity=21.26484283890525, maxHeight=2591.5100307129, powerType='Hybrid (Fuel + Electric)', size=2.5703001050968033, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=5138.738321806475}
2 {maxRange=53.22324782047596, maxFlightTime=228.18618632251955, cruiseSpeed=208.0294832299386, maxSpeed=119.35429194453425, loadCapacity=58.04712650787834, maxHeight=5622.642719057424, powerType='Fuel', size=14.71370139650082, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=10.34070546539024}
2 {maxRange=110.93864326985599, maxFlightTime=115.40475038727018, cruiseSpeed=385.795140213193, maxSpeed=491.4465035611143, loadCapacity=28.733587913834654, maxHeight=1895.775165316979, powerType='Fuel', size=12.402380782012624, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=19.479290051929482}
1 {maxRange=18.507051047028668, maxFlightTime=40.5173179146141, cruiseSpeed=6.93483619199752, maxSpeed=39.46815707845107, loadCapacity=4.578992564181814, maxHeight=573.6486771357337, powerType='Electric', size=1.6918026804457627, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
3 {maxRange=54.248233754934006, maxFlightTime=78.36643832342388, cruiseSpeed=140.29370239998804, maxSpeed=343.17746624638744, loadCapacity=28.693014403272343, maxHeight=3184.8981695616853, powerType='Fuel', size=2.2893481367404283, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=6}
4 {maxRange=98.75584053633315, maxFlightTime=111.3524860454403, cruiseSpeed=185.0543137784106, maxSpeed=311.0768295310445, loadCapacity=23.01274234943844, maxHeight=4653.900131755181, powerType='Hybrid (Fuel + Electric)', size=2.6103768614470986, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=2736.437653219484}
4 {maxRange=137.23688679573385, maxFlightTime=46.843842893041405, cruiseSpeed=298.9319662981121, maxSpeed=191.28457491703438, loadCapacity=36.7574056425551, maxHeight=5352.445981622541, powerType='Hybrid (Fuel + Electric)', size=1.1704417802347784, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=3005.83031951076}
2 {maxRange=77.23221867237132, maxFlightTime=112.13290375106013, cruiseSpeed=313.2202801892832, maxSpeed=430.54178800149066, loadCapacity=59.09132542425479, maxHeight=1014.858021537213, powerType='Fuel', size=11.680043475953376, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=17.757587533258537}
1 {maxRange=49.972959106004076, maxFlightTime=56.127496432348494, cruiseSpeed=9.518460849359842, maxSpeed=36.05273367192514, loadCapacity=2.855402127972053, maxHeight=338.88073497385363, powerType='Electric', size=0.5094798440036323, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
2 {maxRange=74.62825900436734, maxFlightTime=95.01995426105702, cruiseSpeed=163.9773206600582, maxSpeed=134.6774613569237, loadCapacity=58.95914943591054, maxHeight=3493.0606183440796, powerType='Fuel', size=14.684928266737579, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=33.558187737313055}
1 {maxRange=41.09148333128019, maxFlightTime=38.321646251087444, cruiseSpeed=14.175619982388506, maxSpeed=26.623637874410832, loadCapacity=4.275089874662731, maxHeight=363.39049332434433, powerType='Electric', size=0.5681775578474029, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
2 {maxRange=247.60897584003848, maxFlightTime=92.5283340327811, cruiseSpeed=334.7475736398059, maxSpeed=217.25103665517787, loadCapacity=19.28298912592225, maxHeight=3600.396330754952, powerType='Fuel', size=14.13748253512305, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=32.19317993292822}
1 {maxRange=16.984469892998458, maxFlightTime=22.085297990827442, cruiseSpeed=23.65034395268986, maxSpeed=12.605856568824851, loadCapacity=2.5800636870239195, maxHeight=584.2008238507314, powerType='Electric', size=1.6580741861908035, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
2 {maxRange=168.89530354008582, maxFlightTime=75.37956328878559, cruiseSpeed=308.0421210659808, maxSpeed=126.43219690735503, loadCapacity=52.29284469427397, maxHeight=4302.61191214509, powerType='Fuel', size=12.02137154746416, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=9.869994247697125}
1 {maxRange=25.49881585294473, maxFlightTime=59.69043581213613, cruiseSpeed=8.217194854318258, maxSpeed=35.23476425364788, loadCapacity=1.78034003785463, maxHeight=399.03077503674297, powerType='Electric', size=1.9609851863405197, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
2 {maxRange=195.28970333657844, maxFlightTime=175.59993115703656, cruiseSpeed=141.2367359891703, maxSpeed=122.38408387558583, loadCapacity=57.2632072585122, maxHeight=5828.14181939151, powerType='Fuel', size=15.781981447254042, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=20.321619257389216}
1 {maxRange=42.392109065721556, maxFlightTime=20.311390800211935, cruiseSpeed=12.83973910763488, maxSpeed=25.42573674263205, loadCapacity=4.539931964831862, maxHeight=315.90833657923463, powerType='Electric', size=2.1010958839322234, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=59.65540884901454, maxFlightTime=85.9427693516214, cruiseSpeed=136.55348342166786, maxSpeed=172.9526424647393, loadCapacity=12.251360818089687, maxHeight=3900.356053674046, powerType='Fuel', size=5.129489781460014, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=3}
2 {maxRange=121.52539958052043, maxFlightTime=127.89151247632601, cruiseSpeed=388.8216511739638, maxSpeed=190.95520060115948, loadCapacity=11.054899003647842, maxHeight=4204.68581864181, powerType='Fuel', size=8.549126008671298, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=19.0185649374623}
2 {maxRange=171.92701040681087, maxFlightTime=137.91187302902557, cruiseSpeed=129.8156059817132, maxSpeed=553.6564095859076, loadCapacity=32.07962023361529, maxHeight=3675.7713691524414, powerType='Fuel', size=15.26316406464871, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=13.497713430708323}
2 {maxRange=212.26138798207518, maxFlightTime=141.2641034140808, cruiseSpeed=380.9317440846574, maxSpeed=303.361267845072, loadCapacity=46.20306617505392, maxHeight=2177.3924330850878, powerType='Fuel', size=11.160794910915495, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=32.80829084743382}
3 {maxRange=77.7538939521932, maxFlightTime=90.1228372085117, cruiseSpeed=215.56302629324406, maxSpeed=88.29465090859493, loadCapacity=10.52701555300947, maxHeight=3900.2236151395227, powerType='Fuel', size=5.882030001149326, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
2 {maxRange=112.3395831254129, maxFlightTime=72.45552355830154, cruiseSpeed=341.0808200336502, maxSpeed=514.1502322996923, loadCapacity=30.939868766236742, maxHeight=3196.341984356788, powerType='Fuel', size=10.916154316273508, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=6.196929849996878}
1 {maxRange=10.06519634976162, maxFlightTime=57.638596825404385, cruiseSpeed=5.052555752465835, maxSpeed=24.332817100285606, loadCapacity=4.079838396360691, maxHeight=522.9109553863213, powerType='Electric', size=2.0866312680835666, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
2 {maxRange=69.13395675860679, maxFlightTime=101.29853467843083, cruiseSpeed=197.944705275296, maxSpeed=228.71175063107154, loadCapacity=12.265553779130192, maxHeight=5986.991959258354, powerType='Fuel', size=7.221718331423755, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=6.037290234594873}
2 {maxRange=174.51782077022713, maxFlightTime=62.71153291636511, cruiseSpeed=386.4328890956695, maxSpeed=199.2673081663212, loadCapacity=13.640790479372413, maxHeight=1080.8970859728108, powerType='Fuel', size=6.834802512423757, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=9.898483026602213}
1 {maxRange=49.29215730765591, maxFlightTime=11.088649499436, cruiseSpeed=11.523896291756056, maxSpeed=16.445438028670445, loadCapacity=5.7275698625700215, maxHeight=360.1886186700757, powerType='Electric', size=2.0688938337477545, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
4 {maxRange=52.48338530123073, maxFlightTime=59.93966564489672, cruiseSpeed=223.82626689472184, maxSpeed=129.05997155439775, loadCapacity=28.7493712228136, maxHeight=2322.710397623732, powerType='Hybrid (Fuel + Electric)', size=3.6475687681515203, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=5020.314889073936}
2 {maxRange=241.38151435130317, maxFlightTime=229.51592591508674, cruiseSpeed=173.97839768220973, maxSpeed=131.7529301645032, loadCapacity=39.88506525043928, maxHeight=2056.9780408258102, powerType='Fuel', size=16.70528831503571, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=18.79409891477117}
3 {maxRange=112.19890952457432, maxFlightTime=128.06537766695106, cruiseSpeed=118.6876621506535, maxSpeed=267.25170101613764, loadCapacity=15.675564456015652, maxHeight=4215.220656473299, powerType='Fuel', size=1.3811950178045476, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
